weightclass,Weight In Kg,Average Submissions Attempted Per 15 Minutes,Average Takedowns Landed Per 15 Minutes,Date Of Birth,Draws,Height Cm,Losses,Name,Nickname,Reach In Cm,Significant Strike Defence,Significant Strikes Absorbed Per Minute,Significant Strikes Landed Per Minute,Significant Striking Accuracy,Stance,Takedown Accuracy,Takedown Defense,Wins
Heavyweight (>=93.1 kg),120.2,5.7,0,2/10/1990,0,193.04,0,Shamil Gaziev,,198.12,0,0,1.52,100,Orthodox,0,0,11
Light Heavyweight (84.0–93.0 kg),83.91,5.5,5.54,1/9/1978,0,185.42,2,David Terrell,"""The Soul Assassin""",,37,2.71,2.34,63,Southpaw,50,0,6
Light Heavyweight (84.0–93.0 kg),92.99,5.4,7.19,9/5/1978,0,190.5,4,Rob MacDonald,"""Maximus""",198.12,46,2.04,1.8,50,Orthodox,80,80,5
Middleweight (77.2–83.9 kg),77.11,5.3,2.12,9/1/1982,0,177.8,3,Matt Arroyo,"""No Regard""",182.88,58,2.01,1.62,47,Orthodox,36,100,3
Featherweight (61.3–65.8 kg),65.77,5.3,0,12/30/1994,0,180.34,6,Diego Lopes,,182.88,37,4.91,2.47,53,Orthodox,0,42,23
Heavyweight (>=93.1 kg),110.22,5.2,2.58,11/27/1968,0,193.04,12,Colin Robinson,"""Big C""",,37,7.91,6.19,69,Orthodox,100,50,10
Light Heavyweight (84.0–93.0 kg),83.91,5.1,1.69,4/18/1980,0,180.34,7,Justin Levens,"""Executioner""",,37,3.15,1.24,47,Orthodox,50,33,10
Heavyweight (>=93.1 kg),106.59,5.1,0,10/28/1979,0,182.88,4,Mike Ciesnolevicz,"""Mike C""",,57,4.62,0.51,50,Orthodox,0,20,19
Flyweight (≤56.7 kg),56.7,5,8,4/24/1989,0,167.64,0,Ronaldo Candido,"""Pacman""",,52,3.87,1.67,42,Southpaw,53,0,6
Light Heavyweight (84.0–93.0 kg),83.91,4.9,0,5/5/1976,0,190.5,10,Alex Schoenauer,,,42,2.27,1.22,40,Orthodox,0,22,15
Flyweight (≤56.7 kg),56.7,4.9,0,8/7/1991,0,165.1,3,Billy Pasulatan,,167.64,48,5.22,0.65,20,Switch,0,0,10
Featherweight (61.3–65.8 kg),61.23,4.8,3.23,10/19/1997,2,167.64,4,Shohei Nose,,172.72,53,3.61,2.48,40,Switch,17,0,10
Middleweight (77.2–83.9 kg),77.11,4.8,3.03,4/25/1988,0,180.34,9,TJ Waldburger,"""The Modern Day Warrior""",190.5,40,2.39,2.02,51,Orthodox,46,40,16
Light Heavyweight (84.0–93.0 kg),83.91,4.6,4.63,,1,182.88,4,Keith Rockel,"""Rock""",,66,0.21,1.13,73,Orthodox,75,100,12
Light Heavyweight (84.0–93.0 kg),92.99,4.5,3,10/13/1973,0,175.26,2,Mark Hughes,,,42,0.4,0.9,47,Southpaw,50,0,6
Flyweight (≤56.7 kg),56.7,4.4,1.66,9/7/1990,0,170.18,7,Jimmy Flick,"""The Brick""",172.72,38,5.05,1.99,50,Orthodox,27,0,16
Flyweight (≤56.7 kg),56.7,4.4,0,9/30/2002,0,165.1,1,Takeru Uchida,,172.72,0,0,0,0,Southpaw,0,0,6
Heavyweight (>=93.1 kg),106.59,4.3,4.34,7/29/1973,0,190.5,11,Branden Lee Hinkle,"""The Iron Lion""",,26,3.91,2.61,69,Orthodox,57,66,17
Welterweight (70.4–77.1 kg),70.31,4.2,3.58,3/8/1978,2,175.26,4,Genki Sudo,"""The Neo Samurai""",,33,2.23,1.55,39,Orthodox,60,50,15
Heavyweight (>=93.1 kg),120.2,4.2,2.12,7/17/1976,0,200.66,7,Sean McCorkle,"""Big Sexy""",205.74,52,2.48,0.85,44,Orthodox,40,33,17
Featherweight (61.3–65.8 kg),61.23,4.1,2.06,11/22/1992,0,170.18,4,Victor Hugo,"""Striker""",180.34,65,1.1,1.24,34,Orthodox,50,66,24
Middleweight (77.2–83.9 kg),77.11,4.1,3.93,2/26/1980,0,172.72,8,Rousimar Palhares,"""Toquinho""",180.34,59,2.04,1.75,51,Orthodox,45,0,19
Middleweight (77.2–83.9 kg),77.11,4.1,0.55,4/29/1986,0,185.42,7,Dustin Hazelett,,193.04,46,3.51,2.24,40,Orthodox,50,25,12
Middleweight (77.2–83.9 kg),77.11,4,0,6/19/1990,0,185.42,5,HanSeul Kim,,187.96,50,8.09,6.93,45,Southpaw,0,0,13
Heavyweight (>=93.1 kg),113.4,4,0,6/1/1974,0,190.5,4,Dan Evensen,"""The Viking""",,38,3.86,0.27,10,Orthodox,0,0,11
Welterweight (70.4–77.1 kg),70.31,4,0,7/14/1976,0,165.1,5,Alberto Crane,,,57,2.61,0.43,25,Orthodox,0,50,15
Middleweight (77.2–83.9 kg),77.11,4,3,,0,182.88,1,Steve Byrnes,"""The Sergeant""",,27,2.67,1.2,51,Orthodox,60,0,6
Light Heavyweight (84.0–93.0 kg),83.91,3.9,5.77,8/24/1990,0,175.26,0,Aliaskhab Khizriev,"""Black Wolf""",187.96,62,4.36,6.03,64,Southpaw,60,100,14
Light Heavyweight (84.0–93.0 kg),90.72,3.9,0,2/1/1967,1,190.5,7,Bill Mahood,"""The Butcher""",,17,3.59,1.54,85,Orthodox,0,0,20
Light Heavyweight (84.0–93.0 kg),92.99,3.8,3.8,12/6/1990,0,195.58,3,Antonio Trocoli,,208.28,25,4.56,1.27,71,Orthodox,100,100,12
Middleweight (77.2–83.9 kg),77.11,3.8,0,9/17/1987,1,180.34,10,Hector Urbina,"""El Toro""",185.42,39,2.44,0.97,38,Orthodox,0,38,17
Middleweight (77.2–83.9 kg),77.11,3.8,4.75,8/20/1997,0,185.42,1,Gabriel Bonfim,"""Marretinha""",182.88,59,5.25,4.87,40,Orthodox,71,100,15
Middleweight (77.2–83.9 kg),77.11,3.8,1.27,5/4/1978,0,185.42,4,James Wilks,"""Lightning""",190.5,50,2.03,1.82,45,Orthodox,22,66,7
Flyweight (≤56.7 kg),56.7,3.7,4.68,3/22/1998,0,170.18,0,Nyamjargal Tumendemberel,,180.34,45,3.62,4.43,44,Orthodox,38,14,8
Flyweight (≤56.7 kg),56.7,3.7,2.23,11/4/1995,0,170.18,0,HyunSung Park,"""Peace of Mind""",167.64,59,2.62,3.51,48,Orthodox,30,100,8
Welterweight (70.4–77.1 kg),70.31,3.6,2.07,,1,177.8,5,Per Eklund,,182.88,67,2.38,2.07,61,Orthodox,11,50,14
Welterweight (70.4–77.1 kg),70.31,3.5,1.17,11/22/1981,1,190.5,6,Rolando Delgado,"""The Crazy Cuban""",195.58,62,1.83,1.56,40,Orthodox,22,0,11
Light Heavyweight (84.0–93.0 kg),83.91,3.5,1.75,,0,190.5,1,Mike King,,,72,1.29,4.44,58,,25,40,5
Middleweight (77.2–83.9 kg),77.11,3.5,0,3/17/1977,0,182.88,7,Kit Cope,"""Havoc""",,35,2.12,1.18,52,Orthodox,0,50,6
Light Heavyweight (84.0–93.0 kg),83.91,3.5,0,3/12/1968,0,180.34,1,Chris Sanford,,,17,3.22,0.23,50,Orthodox,0,0,5
Welterweight (70.4–77.1 kg),70.31,3.5,3.53,5/12/1984,0,175.26,6,Junie Browning,"""The Lunatic""",,66,1.76,3.76,48,Orthodox,66,0,5
Middleweight (77.2–83.9 kg),77.11,3.5,3.11,7/15/1995,0,180.34,4,Preston Parsons,"""Pressure""",180.34,49,3.76,4.14,56,Orthodox,33,100,10
Welterweight (70.4–77.1 kg),70.31,3.4,2.13,12/30/1981,0,177.8,7,Shannon Gugerty,,180.34,58,1.88,1.25,39,Orthodox,27,50,15
Welterweight (70.4–77.1 kg),70.31,3.4,6.87,8/25/1974,0,172.72,3,Allen Berube,"""Monstah""",,33,0.92,0.92,80,Orthodox,100,0,4
Light Heavyweight (84.0–93.0 kg),83.91,3.3,0.41,7/9/1977,0,190.5,4,Tim Credeur,"""Crazy""",190.5,57,3.13,3.59,30,Orthodox,100,50,12
Featherweight (61.3–65.8 kg),65.77,3.3,3.92,2/2/1988,0,175.26,4,Herbert Burns,"""The Blaze""",185.42,30,4.74,1.61,51,Orthodox,75,60,11
Light Heavyweight (84.0–93.0 kg),92.99,3.3,1.63,4/15/1978,0,182.88,3,Ricardo Romero,,193.04,46,4.77,2.17,55,Orthodox,10,100,11
Heavyweight (>=93.1 kg),120.2,3.2,0,3/3/1983,1,187.96,7,Rob Broughton,"""The Bear""",187.96,51,2.54,2.83,60,Orthodox,0,26,16
Heavyweight (>=93.1 kg),108.86,3.2,3.16,7/6/1989,0,190.5,0,Dmitry Sosnovskiy,,195.58,35,2.53,2.95,70,Orthodox,66,100,11
Middleweight (77.2–83.9 kg),77.11,3.1,7.28,1/2/1983,0,182.88,15,Jesse Taylor,"""JT Money""",185.42,38,0.55,1.94,65,Orthodox,50,100,31
Heavyweight (>=93.1 kg),107.95,3.1,0,3/1/1979,0,187.96,3,Alexandre Dantas,"""Cafe""",,60,1.87,0.21,25,Orthodox,0,0,0
Middleweight (77.2–83.9 kg),77.11,3.1,3.11,5/2/1993,0,187.96,2,Kevin Jousset,"""Air""",190.5,33,8.1,6.02,50,Orthodox,100,0,9
Featherweight (61.3–65.8 kg),65.77,3.1,3.06,7/16/1994,0,177.8,2,Manny Bermudez,"""The Bermudez Triangle""",180.34,46,2.68,2.92,61,Orthodox,54,0,14
Middleweight (77.2–83.9 kg),77.11,3,3,4/11/1992,0,172.72,4,Sidney Outlaw,,187.96,71,0.8,0.13,33,Orthodox,75,0,8
Light Heavyweight (84.0–93.0 kg),83.91,3,1,3/8/1981,0,180.34,10,Maiquel Falcao,"""Big Rig""",,86,0.53,1.67,55,Orthodox,100,71,37
Middleweight (77.2–83.9 kg),77.11,3,3.01,8/28/1999,0,185.42,0,Samandar Murodov,,190.5,0,0.8,3.41,80,Orthodox,100,0,8
Middleweight (77.2–83.9 kg),77.11,3,0,8/8/1986,1,187.96,9,Danny Mitchell,"""The Cheesecake Assassin""",,52,2.53,2.53,49,Orthodox,0,100,19
Welterweight (70.4–77.1 kg),70.31,2.9,2.88,7/28/1970,0,172.72,5,Fabiano Iha,,,42,2.49,1.73,47,Orthodox,40,50,9
Light Heavyweight (84.0–93.0 kg),83.91,2.9,6.79,10/18/1993,0,182.88,2,Anthony Hernandez,"""Fluffy""",190.5,46,3.36,4.33,62,Orthodox,57,63,11
Heavyweight (>=93.1 kg),120.2,2.9,8.71,8/15/1973,0,198.12,2,Marcus Jones,"""Big Baby""",,58,2.71,1.94,52,Orthodox,75,0,4
Flyweight (≤56.7 kg),56.7,2.8,2.41,1/27/2000,0,170.18,0,Tatsuro Taira,,177.8,47,1.26,3.23,69,Orthodox,41,60,14
Welterweight (70.4–77.1 kg),70.31,2.8,2.36,10/12/1981,0,172.72,6,Jason High,"""The Kansas City Bandit""",185.42,48,1.56,1.28,42,Southpaw,63,37,21
Light Heavyweight (84.0–93.0 kg),92.99,2.8,11.11,12/13/1971,0,193.04,5,Mike Nickels,,,64,1.11,4.44,52,Orthodox,80,0,9
Welterweight (70.4–77.1 kg),70.31,2.8,0,6/4/1991,0,185.42,1,Shaheen Santana,,190.5,40,1.65,0.82,42,Orthodox,0,0,6
Welterweight (70.4–77.1 kg),70.31,2.8,0,4/30/1996,1,190.5,2,Sam Patterson,,198.12,44,3.98,2.56,36,Orthodox,0,33,10
Flyweight (≤56.7 kg),56.7,2.8,7.74,6/22/2002,0,167.64,0,Rei Tsuruya,,172.72,42,1.64,2.91,63,Orthodox,57,50,8
Featherweight (61.3–65.8 kg),61.23,2.8,4.23,3/23/1995,0,170.18,0,Rinya Nakamura,"""Hybred""",172.72,70,1.78,4.23,54,Southpaw,85,100,8
Heavyweight (>=93.1 kg),127.01,2.8,4.19,11/23/1965,2,187.96,6,Ron Waterman,,,42,1.37,0.84,50,Orthodox,69,50,16
Welterweight (70.4–77.1 kg),70.31,2.7,1.63,3/30/1988,0,177.8,6,Dan Lauzon,"""The Upgrade""",,61,4.09,1.34,25,Orthodox,33,80,17
Featherweight (61.3–65.8 kg),65.77,2.7,2.4,4/28/1990,0,170.18,14,Darrick Minner,,175.26,35,2.28,2.63,65,Orthodox,72,66,26
Light Heavyweight (84.0–93.0 kg),83.91,2.7,3.99,5/1/1994,0,187.96,0,Khamzat Chimaev,"""Borz""",190.5,42,3.46,5.72,58,Orthodox,46,100,13
Welterweight (70.4–77.1 kg),70.31,2.7,2.32,10/17/1989,0,177.8,9,Charles Oliveira,"""Do Bronxs""",187.96,51,3.19,3.54,53,Orthodox,40,55,34
Light Heavyweight (84.0–93.0 kg),83.91,2.7,0.33,10/2/1978,1,185.42,25,Matt Horwich,"""Suave, Sabretooth""",,38,2.16,1.11,62,Orthodox,9,28,30
Light Heavyweight (84.0–93.0 kg),83.91,2.7,2.67,8/6/1980,0,177.8,5,Charles McCarthy,"""Chainsaw""",180.34,56,4.03,0.18,12,Orthodox,60,0,10
Flyweight (≤56.7 kg),56.7,2.6,0,8/21/1995,0,165.1,1,Roybert Echeverria,"""The Unbroken""",170.18,57,2.52,2.95,53,Switch,0,71,7
Light Heavyweight (84.0–93.0 kg),83.91,2.6,0,5/8/1990,0,187.96,4,Julian Marquez,"""The Cuban Missile Crisis""",182.88,51,4.99,4.86,44,Orthodox,0,53,9
Light Heavyweight (84.0–93.0 kg),92.99,2.6,1.75,4/20/1971,2,182.88,5,Allan Goes,,,41,1.35,0.64,52,Orthodox,40,0,10
Flyweight (≤56.7 kg),56.7,2.6,0.53,8/22/1994,0,167.64,2,Joseph Morales,"""Bopo""",175.26,60,1.72,1.58,37,Switch,50,23,9
Middleweight (77.2–83.9 kg),77.11,2.6,1.06,6/23/1981,1,185.42,14,Nick Thompson,"""The Goat""",187.96,49,1.8,1.87,42,Orthodox,100,35,38
Featherweight (61.3–65.8 kg),61.23,2.6,1.03,8/5/1987,0,175.26,11,Dustin Pague,"""The Disciple""",187.96,41,2.96,1.65,53,Orthodox,44,55,12
Featherweight (61.3–65.8 kg),65.77,2.6,2.62,3/1/1994,0,175.26,5,Lu Kai,,175.26,55,5.51,3.76,43,Orthodox,50,100,8
Light Heavyweight (84.0–93.0 kg),92.99,2.6,2.48,9/7/1975,0,185.42,11,Renato Sobral,"""Babalu""",190.5,57,1.53,2.23,45,Orthodox,42,65,37
Middleweight (77.2–83.9 kg),77.11,2.5,2.46,8/5/1980,0,177.8,7,Daniel Roberts,"""Ninja""",187.96,46,2.27,0.73,20,Southpaw,44,40,15
Heavyweight (>=93.1 kg),106.59,2.5,4.97,,0,182.88,2,Keigo Kunihara,,,57,1.99,0.17,10,Orthodox,40,100,3
Light Heavyweight (84.0–93.0 kg),92.99,2.5,0,10/12/1984,0,193.04,6,Daniel Spohn,"""Dragon""",200.66,53,1.6,2.42,49,Southpaw,0,28,15
Light Heavyweight (84.0–93.0 kg),83.91,2.5,4.48,6/12/1991,0,182.88,3,Andre Petroski,,185.42,51,3.03,3.61,51,Switch,54,71,10
Middleweight (77.2–83.9 kg),77.11,2.5,0.46,7/29/1974,2,177.8,17,Dave Menne,"""The Warrior""",,42,1.99,1.84,44,Orthodox,50,57,45
Middleweight (77.2–83.9 kg),77.11,2.5,1.46,8/3/1973,0,185.42,5,Renato Verissimo,"""Charuto""",,47,1.87,0.92,48,Orthodox,30,50,7
Light Heavyweight (84.0–93.0 kg),92.99,2.5,0.94,2/11/1964,2,185.42,17,Ken Shamrock,"""The World's Most Dangerous Man""",182.88,39,4.3,1.47,46,Orthodox,60,44,28
Welterweight (70.4–77.1 kg),70.31,2.5,1.22,4/4/1979,0,177.8,3,Dale Hartt,,175.26,66,1.55,1.14,35,Orthodox,100,25,6
Heavyweight (>=93.1 kg),119.75,2.5,7.34,3/30/1995,0,185.42,1,Thomas Petersen,"""The Train""",187.96,40,2.45,3.59,73,Southpaw,100,100,8
Heavyweight (>=93.1 kg),102.97,2.5,7.51,11/19/1974,0,187.96,0,Tom Murphy,,,84,0.17,2.5,71,Southpaw,85,0,8
Flyweight (≤56.7 kg),56.7,2.5,0,6/14/1997,0,175.26,1,Naoki Inoue,,180.34,60,3.37,3.67,35,Orthodox,0,60,11
Flyweight (≤56.7 kg),56.7,2.5,2.47,6/9/1996,0,167.64,0,Clayton Carpenter,,167.64,60,2.85,4.5,51,Orthodox,50,0,7
Light Heavyweight (84.0–93.0 kg),83.91,2.5,0.49,1/11/1971,0,182.88,9,Ivan Salaverry,,,76,1.19,3.01,47,Orthodox,18,36,14
Welterweight (70.4–77.1 kg),70.31,2.5,2.5,12/16/1987,0,182.88,10,Cody McKenzie,,182.88,67,2.5,1.74,34,Switch,25,14,16
Light Heavyweight (84.0–93.0 kg),83.91,2.5,2.28,11/5/1986,0,193.04,5,Tamdan McCrory,"""The Barn Cat""",193.04,46,1.6,2.07,49,Switch,50,33,14
Light Heavyweight (84.0–93.0 kg),92.99,2.4,5.14,6/26/1991,0,190.5,2,Jailton Almeida,"""Malhadinho""",200.66,43,0.52,2.78,64,Orthodox,55,75,20
Light Heavyweight (84.0–93.0 kg),92.99,2.4,0,9/9/1975,0,177.8,8,Doug Marshall,"""The Rhino""",,60,4.02,6.99,46,Orthodox,0,66,18
Light Heavyweight (84.0–93.0 kg),83.91,2.4,0.8,9/19/1967,1,187.96,18,Mark Weir,,,38,2.5,1.54,56,Southpaw,50,25,21
Heavyweight (>=93.1 kg),115.67,2.4,8.93,10/9/1980,0,190.5,2,Juan Espino,"""El Guapo""",203.2,40,1.95,2.38,70,Orthodox,78,50,11
Light Heavyweight (84.0–93.0 kg),83.91,2.4,1.35,6/3/1975,0,190.5,13,Jason Lambert,"""The Punisher""",190.5,50,1.84,3.21,58,Orthodox,36,28,26
Featherweight (61.3–65.8 kg),65.77,2.4,2.37,6/8/1984,0,175.26,2,Noad Lahat,"""Neo""",175.26,63,1.47,2.79,46,Orthodox,26,16,11
Welterweight (70.4–77.1 kg),70.31,2.4,0.97,1/3/1995,0,177.8,3,Paddy Pimblett,"""The Baddy""",185.42,41,3.48,4.19,46,Orthodox,25,56,20
Featherweight (61.3–65.8 kg),65.77,2.4,4.8,3/25/1990,0,180.34,6,Gabriel Miranda,"""Fly""",180.34,39,6.88,3.52,51,Orthodox,40,0,17
Light Heavyweight (84.0–93.0 kg),83.91,2.4,2.08,1/30/1981,0,177.8,9,Rob Kimmons,"""The Rosedale Reaper""",185.42,38,4.79,1.86,48,Orthodox,46,25,25
Welterweight (70.4–77.1 kg),70.31,2.4,1.53,8/26/1974,0,167.64,17,Hermes Franca,"""The Unreal""",180.34,55,2.85,1.78,39,Orthodox,36,37,24
Welterweight (70.4–77.1 kg),70.31,2.4,7.32,1/31/1991,0,180.34,3,Cesar Arzamendia,"""Goku""",,56,5.2,5.37,45,Orthodox,75,0,8
Middleweight (77.2–83.9 kg),77.11,2.4,0.7,8/18/1974,5,180.34,18,Chris Lytle,"""Lights Out""",172.72,58,3.03,3.76,45,Orthodox,55,55,31
Middleweight (77.2–83.9 kg),77.11,2.4,1.9,11/17/1992,0,177.8,4,Ramiz Brahimaj,,182.88,50,4.08,2.47,41,Orthodox,66,58,10
Light Heavyweight (84.0–93.0 kg),83.91,2.3,1.91,9/23/1966,1,172.72,9,Eugene Jackson,"""The Wolf""",,32,3.44,2.19,33,Orthodox,71,16,15
Light Heavyweight (84.0–93.0 kg),83.91,2.3,2.02,10/9/1977,0,182.88,16,Joe Doerksen,"""El Dirte""",190.5,50,2.79,1.43,42,Orthodox,33,33,51
Heavyweight (>=93.1 kg),117.93,2.3,0,8/4/1979,1,208.28,14,Wes Sims,"""The Project""",,37,2.95,0.98,51,Orthodox,0,40,24
Featherweight (61.3–65.8 kg),61.23,2.3,1.55,4/30/1996,0,165.1,6,JP Buys,"""Young Savage""",170.18,40,3.02,1.88,39,Orthodox,25,25,9
Flyweight (≤56.7 kg),56.7,2.3,0.66,8/16/1992,0,175.26,6,Brandon Royval,"""Raw Dawg""",172.72,50,2.63,3.45,38,Southpaw,100,39,15
Flyweight (≤56.7 kg),56.7,2.3,0,4/9/1995,0,167.64,1,Nate Smith,,175.26,35,2.04,1.28,38,Switch,0,33,6
Middleweight (77.2–83.9 kg),77.11,2.3,3.87,12/5/1983,1,185.42,4,Mats Nilsson,,,63,5.62,2.99,39,Orthodox,83,44,11
Flyweight (≤56.7 kg),56.7,2.3,2.32,1/4/1982,0,165.1,7,Jose Maria,"""No Chance""",,52,3.98,3.2,53,Orthodox,27,33,37
Light Heavyweight (84.0–93.0 kg),90.26,2.3,0,3/13/1969,3,180.34,27,Yoshiki Takahashi,,,44,6.47,2.26,51,Southpaw,0,66,30
Light Heavyweight (84.0–93.0 kg),83.91,2.3,2.33,12/7/1992,0,182.88,1,Ikram Aliskerov,,193.04,36,7.15,8.24,65,Southpaw,33,0,15
Heavyweight (>=93.1 kg),106.59,2.3,4.55,1/5/1968,1,190.5,7,Kimo Leopoldo,"""Kimo""",,30,2.12,0.76,83,Orthodox,100,0,10
Featherweight (61.3–65.8 kg),65.77,2.3,1.74,5/11/1985,0,180.34,3,Chas Skelly,"""The Scrapper""",182.88,49,3.21,2.01,40,Orthodox,34,39,19
Heavyweight (>=93.1 kg),112.04,2.3,0.75,2/23/1978,0,187.96,6,Ruan Potts,"""Fangzz""",190.5,22,5.92,0.85,37,Orthodox,16,33,11
Welterweight (70.4–77.1 kg),70.31,2.3,0.76,8/14/1985,0,182.88,6,Mark Holst,"""Boots""",,47,1.67,0.25,19,Orthodox,100,60,12
Light Heavyweight (84.0–93.0 kg),92.99,2.3,0.46,12/3/1979,0,182.88,8,Seth Petruzelli,"""The Silverback""",193.04,55,2.08,2.17,41,Orthodox,50,47,14
Heavyweight (>=93.1 kg),117.93,2.2,3.26,9/8/1986,0,198.12,3,Christian Morecraft,,205.74,46,2.46,2.82,34,Orthodox,66,50,8
Featherweight (61.3–65.8 kg),65.77,2.2,2.92,8/22/1989,0,185.42,3,Niklas Backstrom,,,40,3.65,1.12,41,Orthodox,80,72,11
Welterweight (70.4–77.1 kg),70.31,2.2,2.18,4/4/1991,0,182.88,2,Kaynan Kruschewsky,"""Bahia""",185.42,47,4.79,5.08,39,Orthodox,100,0,15
Welterweight (70.4–77.1 kg),70.31,2.2,1.3,12/14/1979,0,177.8,21,Drew Fickett,"""The Master""",177.8,57,2.29,2.33,41,Orthodox,35,30,42
Middleweight (77.2–83.9 kg),77.11,2.2,5.59,11/5/1984,0,182.88,8,Ryan Thomas,"""The Tank Engine""",,30,4.17,2.01,36,Orthodox,33,0,20
Featherweight (61.3–65.8 kg),65.77,2.2,0.22,2/22/1985,0,177.8,2,Ryan Hall,"""The Wizard""",177.8,65,1.33,2.38,50,Southpaw,9,0,9
Featherweight (61.3–65.8 kg),61.23,2.2,0.93,5/21/1989,0,170.18,3,Dustin Kimura,"""The Diamond""",180.34,51,3.82,1.33,21,Orthodox,37,50,11
Featherweight (61.3–65.8 kg),65.77,2.2,2.17,3/26/1992,0,170.18,1,Alex Gilpin,,,42,12.29,6.8,54,Orthodox,25,0,11
Featherweight (61.3–65.8 kg),65.77,2.2,1.97,10/14/1988,0,180.34,5,Josh Grispi,"""The Fluke""",187.96,50,3.71,1.44,41,Orthodox,36,16,14
Middleweight (77.2–83.9 kg),77.11,2.2,0,7/31/1978,0,172.72,3,Anthony Torres,"""The Crush""",,45,7.52,3.54,48,Orthodox,0,100,5
Featherweight (61.3–65.8 kg),65.77,2.2,0.74,7/17/1988,0,182.88,4,Danny Henry,"""The Hatchet""",185.42,45,4.16,5.2,51,Orthodox,33,50,12
Featherweight (61.3–65.8 kg),65.77,2.2,2.75,6/15/1982,0,170.18,16,Joe Stevenson,"""Daddy""",177.8,60,2.44,2.05,44,Orthodox,44,39,33
Light Heavyweight (84.0–93.0 kg),83.91,2.2,0.9,10/3/1978,0,185.42,8,Wilson Gouveia,,193.04,56,4.06,3.02,39,Orthodox,66,57,14
Light Heavyweight (84.0–93.0 kg),83.91,2.2,0,11/9/1982,0,187.96,4,Chris Price,"""The Exorcist""",,48,2.59,1.44,66,Southpaw,0,33,19
Featherweight (61.3–65.8 kg),65.77,2.2,0.62,5/13/1979,0,167.64,5,Fredson Paixao,"""Freddy Passion""",167.64,62,2.31,1.71,54,Orthodox,11,10,10
Flyweight (≤56.7 kg),56.7,2.2,0.32,8/3/1996,0,170.18,2,Jake Hadley,"""White Kong""",177.8,60,3.2,3.42,44,Southpaw,25,35,10
Welterweight (70.4–77.1 kg),70.31,2.2,1.42,9/13/1999,1,185.42,3,Chase Hooper,"""The Dream""",187.96,36,3.59,4.86,51,Southpaw,22,55,13
