rank1,total_bill,tip,sex,smoker,day,time,size,rank2
2,23.95,2.55,Male,No,Sun,Dinner,2,18
10,25.71,4,Female,No,Sun,Dinner,3,13
8,17.31,3.5,Female,No,Sun,Dinner,2,13
3,29.93,5.07,Male,No,Sun,Dinner,4,20
2,10.65,1.5,Female,No,Thur,Lunch,2,16
8,12.43,1.8,Female,No,Thur,Lunch,2,17
3,24.08,2.92,Female,No,Thur,Lunch,4,13
7,11.69,2.31,Male,No,Thur,Lunch,2,19
3,13.42,1.68,Female,No,Thur,Lunch,2,17
6,14.26,2.5,Male,No,Thur,Lunch,2,13
9,15.95,2,Male,No,Thur,Lunch,2,20
4,12.48,2.52,Female,No,Thur,Lunch,2,14
8,29.8,4.2,Female,No,Thur,Lunch,6,16
10,8.52,1.48,Male,No,Thur,Lunch,2,20
4,14.52,2,Female,No,Thur,Lunch,2,10
2,11.38,2,Female,No,Thur,Lunch,2,11
6,22.82,2.18,Male,No,Thur,Lunch,3,10
1,19.08,1.5,Male,No,Thur,Lunch,2,20
7,20.27,2.83,Female,No,Thur,Lunch,2,15
5,11.17,1.5,Female,No,Thur,Lunch,2,20
6,12.26,2,Female,No,Thur,Lunch,2,13
5,18.26,3.25,Female,No,Thur,Lunch,2,17
7,8.51,1.25,Female,No,Thur,Lunch,2,20
10,10.33,2,Female,No,Thur,Lunch,2,16
6,14.15,2,Female,No,Thur,Lunch,2,14
1,16,2,Male,Yes,Thur,Lunch,2,12
8,13.16,2.75,Female,No,Thur,Lunch,2,17
8,17.47,3.5,Female,No,Thur,Lunch,2,17
7,34.3,6.7,Male,No,Thur,Lunch,6,14
6,41.19,5,Male,No,Thur,Lunch,5,19
10,27.05,5,Female,No,Thur,Lunch,6,15
4,16.43,2.3,Female,No,Thur,Lunch,2,12
2,8.35,1.5,Female,No,Thur,Lunch,2,18
7,18.64,1.36,Female,No,Thur,Lunch,3,15
5,11.87,1.63,Female,No,Thur,Lunch,2,13
10,9.78,1.73,Male,No,Thur,Lunch,2,11
9,7.51,2,Male,No,Thur,Lunch,2,20
4,14.07,2.5,Male,No,Sun,Dinner,2,14
4,13.13,2,Male,No,Sun,Dinner,2,13
4,17.26,2.74,Male,No,Sun,Dinner,3,16
6,24.55,2,Male,No,Sun,Dinner,4,20
7,19.77,2,Male,No,Sun,Dinner,4,11
2,29.85,5.14,Female,No,Sun,Dinner,5,20
7,48.17,5,Male,No,Sun,Dinner,6,11
1,25,3.75,Female,No,Sun,Dinner,4,14
7,13.39,2.61,Female,No,Sun,Dinner,2,18
2,16.49,2,Male,No,Sun,Dinner,4,12
7,21.5,3.5,Male,No,Sun,Dinner,4,15
8,12.66,2.5,Male,No,Sun,Dinner,2,16
3,16.21,2,Female,No,Sun,Dinner,3,10
4,13.81,2,Male,No,Sun,Dinner,2,20
8,17.51,3,Female,Yes,Sun,Dinner,2,17
4,24.52,3.48,Male,No,Sun,Dinner,3,16
5,20.76,2.24,Male,No,Sun,Dinner,2,12
5,31.71,4.5,Male,No,Sun,Dinner,4,19
2,10.59,1.61,Female,Yes,Sat,Dinner,2,20
3,10.63,2,Female,Yes,Sat,Dinner,2,20
10,50.81,10,Male,Yes,Sat,Dinner,3,13
4,15.81,3.16,Male,Yes,Sat,Dinner,2,11
10,7.25,5.15,Male,Yes,Sun,Dinner,2,16
2,31.85,3.18,Male,Yes,Sun,Dinner,2,20
1,16.82,4,Male,Yes,Sun,Dinner,2,19
2,32.9,3.11,Male,Yes,Sun,Dinner,2,15
1,17.89,2,Male,Yes,Sun,Dinner,2,18
7,14.48,2,Male,Yes,Sun,Dinner,2,11
3,9.6,4,Female,Yes,Sun,Dinner,2,11
3,34.63,3.55,Male,Yes,Sun,Dinner,2,13
9,34.65,3.68,Male,Yes,Sun,Dinner,4,15
9,23.33,5.65,Male,Yes,Sun,Dinner,2,15
10,45.35,3.5,Male,Yes,Sun,Dinner,3,20
2,23.17,6.5,Male,Yes,Sun,Dinner,4,11
8,40.55,3,Male,Yes,Sun,Dinner,2,16
9,20.69,5,Male,No,Sun,Dinner,5,17
9,20.9,3.5,Female,Yes,Sun,Dinner,3,18
2,30.46,2,Male,Yes,Sun,Dinner,5,12
2,18.15,3.5,Female,Yes,Sun,Dinner,3,14
1,23.1,4,Male,Yes,Sun,Dinner,3,16
8,15.69,1.5,Male,Yes,Sun,Dinner,2,18
3,19.81,4.19,Female,Yes,Thur,Lunch,2,19
4,28.44,2.56,Male,Yes,Thur,Lunch,2,14
1,15.48,2.02,Male,Yes,Thur,Lunch,2,17
7,16.58,4,Male,Yes,Thur,Lunch,2,18
2,7.56,1.44,Male,No,Thur,Lunch,2,10
4,10.34,2,Male,Yes,Thur,Lunch,2,16
2,43.11,5,Female,Yes,Thur,Lunch,4,14
2,13,2,Female,Yes,Thur,Lunch,2,15
2,13.51,2,Male,Yes,Thur,Lunch,2,14
10,18.71,4,Male,Yes,Thur,Lunch,3,19
10,12.74,2.01,Female,Yes,Thur,Lunch,2,12
3,13,2,Female,Yes,Thur,Lunch,2,20
1,16.4,2.5,Female,Yes,Thur,Lunch,2,16
10,20.53,4,Male,Yes,Thur,Lunch,4,14
9,16.47,3.23,Female,Yes,Thur,Lunch,3,13
3,26.59,3.41,Male,Yes,Sat,Dinner,3,20
3,38.73,3,Male,Yes,Sat,Dinner,4,16
6,24.27,2.03,Male,Yes,Sat,Dinner,2,18
1,12.76,2.23,Female,Yes,Sat,Dinner,2,13
1,30.06,2,Male,Yes,Sat,Dinner,3,17
10,25.89,5.16,Male,Yes,Sat,Dinner,4,20
10,48.33,9,Male,No,Sat,Dinner,4,11
2,13.27,2.5,Female,Yes,Sat,Dinner,2,12
3,28.17,6.5,Female,Yes,Sat,Dinner,3,17
2,12.9,1.1,Female,Yes,Sat,Dinner,2,16
8,28.15,3,Male,Yes,Sat,Dinner,5,14
4,11.59,1.5,Male,Yes,Sat,Dinner,2,11
3,7.74,1.44,Male,Yes,Sat,Dinner,2,16
9,30.14,3.09,Female,Yes,Sat,Dinner,4,13
3,12.16,2.2,Male,Yes,Fri,Lunch,2,14
8,13.42,3.48,Female,Yes,Fri,Lunch,2,15
6,8.58,1.92,Male,Yes,Fri,Lunch,1,17
6,15.98,3,Female,No,Fri,Lunch,3,11
1,13.42,1.58,Male,Yes,Fri,Lunch,2,10
10,16.27,2.5,Female,Yes,Fri,Lunch,2,20
7,10.09,2,Female,Yes,Fri,Lunch,2,10
4,20.45,3,Male,No,Sat,Dinner,4,17
6,13.28,2.72,Male,No,Sat,Dinner,2,19
3,22.12,2.88,Female,Yes,Sat,Dinner,2,14
8,24.01,2,Male,Yes,Sat,Dinner,4,19
4,15.69,3,Male,Yes,Sat,Dinner,3,13
2,11.61,3.39,Male,No,Sat,Dinner,2,18
5,10.77,1.47,Male,No,Sat,Dinner,2,16
9,15.53,3,Male,Yes,Sat,Dinner,2,10
4,10.07,1.25,Male,No,Sat,Dinner,2,14
3,12.6,1,Male,Yes,Sat,Dinner,2,10
1,32.83,1.17,Male,Yes,Sat,Dinner,2,20
4,35.83,4.67,Female,No,Sat,Dinner,3,17
4,29.03,5.92,Male,No,Sat,Dinner,3,16
6,27.18,2,Female,Yes,Sat,Dinner,2,11
9,22.67,2,Male,Yes,Sat,Dinner,2,17
9,17.82,1.75,Male,No,Sat,Dinner,2,16
2,18.78,3,Female,No,Thur,Dinner,2,12
